solar_radiation,temperature,wind speed,rain_day,loss
109.95634823477104,11.295608841843853,13.993473543489772,201,0.0
119.66092713068758,11.431530573754944,13.602544209618573,185,0.0
117.3375174138822,11.710076880347044,13.43009050762305,190,0.0
111.09659708010301,11.026414129770233,14.149469676085912,207,0.0
112.70320989256426,11.382497803518378,13.718016791110268,194,0.0
108.53016585435685,10.732579912093968,13.099543456487817,197,0.0
111.34119698077555,11.944738333206155,13.929154569807263,202,0.0
109.39890750340409,11.245333078187977,14.360244593625094,197,0.0
113.50853459969647,11.534316018609303,13.50505571898169,195,0.0
110.77455876145567,10.948655734249309,13.759685538908775,189,0.0
108.62526959924524,11.049874792245733,13.875063451416276,210,0.0
116.11212366677395,11.655112195903872,13.750811574125189,184,0.0
102.67922254390568,11.3043216674513,14.407184514656775,224,0.3
110.9031678209624,11.807172356384905,13.381449069504548,193,0.0
109.44131475654117,10.965308864614347,13.878815997304573,197,0.0
105.7361128389069,11.351407383618467,14.520765268442386,214,0.0
118.12653315946315,11.350634574562953,13.136125661477061,190,0.0
112.12524448601152,11.345951577103456,13.911235002513077,198,0.0
108.08548512744218,11.705125526906953,14.097081277120674,205,0.0
108.32440266095107,11.442140319498035,14.006903509413533,217,0.0
112.02066858325125,11.0793120735165,13.618800911391654,206,0.0
105.96700989501565,11.466075852791633,13.85262373527001,219,0.0
105.39069977318567,11.119619413252703,13.463102582959479,203,0.0
109.49750935984704,11.04306253918084,13.587650923678432,201,0.0
116.74114234391313,11.596740186791465,14.155440133461383,201,0.0
114.00487505929154,11.66343473291243,13.317516896558594,194,0.0
107.41461794248683,11.379126369910589,13.891382690878062,207,0.0
107.13032624721977,11.143023408677887,13.638777950440334,189,0.0
107.89430483138338,11.172307364516783,14.043466804506412,207,0.0
110.42782933464173,11.209477580661652,14.200283774410616,207,0.0
113.9176763400401,11.101790594747131,13.425887299225344,189,0.0
114.37171428774181,11.314736270342822,13.120904918306087,196,0.0
110.7412983075856,11.078840526988387,13.73081215099813,219,0.0
112.09275575678721,11.141936435640131,13.649341712670871,210,0.0
114.38925289804261,11.505263871193142,13.778416855631031,198,0.0
118.2261003549473,11.602049487038569,13.924639429352977,186,0.0
107.4369754786386,10.95040501441105,13.776796738879415,192,0.0
112.17047247914047,11.541179383915926,13.652790330677142,205,0.3
114.49127846234155,11.569506892817786,13.513253291082448,206,0.0
111.87562209900396,11.227301125705338,13.678746464326952,201,0.0
114.07736567446,11.491132615165132,13.788204317976453,208,0.0
113.07017684798913,11.608667571860881,13.738291723185272,208,0.0
110.70059436812649,11.247708741931097,13.49470052052444,205,0.0
113.44498610195758,11.49089293399409,13.583817908160702,199,0.0
111.98748108947635,11.490501583260567,14.501607173495401,195,0.0
112.92234810295575,11.290658609920635,13.911513703210288,210,0.0
113.07551516125466,11.754943519198694,13.951510713039193,194,0.0
118.73339765841833,11.54628811595479,13.532847188958092,206,0.0
118.51408162101625,11.706881525388106,13.31764959622436,188,0.0
110.7331600327083,11.387111844622368,13.381080021961184,202,0.0
118.7289896816276,11.38144288192328,13.896905381917719,181,0.0
113.40291526450163,11.093679036807506,14.036336183944378,188,0.0
108.60481123792584,11.198836478502466,14.193924386798772,203,0.0
108.57432310817867,11.326882396421176,13.13561451044727,211,0.0
111.52628024439815,11.259737212335542,13.632429322483539,209,0.0
115.80754704035945,11.63426742082843,13.437019901553274,200,0.0
116.55134109780612,11.546613278340077,13.747095804868337,184,0.0
114.5771695745906,11.484901664506566,13.958268448341324,190,0.0
