solar_radiation,temperature,wind speed,rain_day,loss
116.81510188030235,11.631295941043762,13.635415490343124,190,0.0
111.56183161945816,11.295703390131669,13.776640172610387,198,0.0
107.68573338776083,11.614327750892619,13.819343738269936,197,0.0
116.62849430521165,11.615160014846852,13.586259699948398,200,0.0
116.60172606613452,11.604384934811362,14.03214917903281,203,0.0
113.40657329554713,10.804306567841623,13.706173565586086,192,0.0
121.23933679995034,11.85775238119277,12.904428982685477,193,0.0
109.26506556101181,11.393855063687173,13.932297835260584,203,0.0
112.01344429584874,11.31357123669071,13.306705446225545,202,0.0
114.75714532088215,11.650613644174808,13.188276152901945,202,0.0
112.60655901095099,11.216688520816566,13.79142461814983,186,0.0
103.07883911072074,10.881237285757333,13.886053695263895,197,0.0
112.61157785168888,11.636162292262753,13.43647583831047,191,0.0
107.69638822479133,11.38422389355225,14.011757004073795,192,0.0
110.84935619139455,10.996336673602082,13.672792647021103,197,0.0
113.45183208185557,11.459382799044706,13.582256881886703,195,0.0
113.20372886423476,11.293775314260055,14.099117169895619,209,0.0
112.51675764135109,11.286898473538786,13.45145279058621,190,0.0
111.79437227149249,11.507193531360995,13.819795113546942,202,0.0
108.0782343581425,11.324816016878804,14.46452846845958,197,0.3
109.28716951385132,11.139377280407825,13.9398303571207,209,0.0
118.5781652404359,12.50360005498829,13.445030496363701,181,0.0
106.78519761357848,10.897727484546328,14.414516192505177,217,0.0
109.5339782998691,11.423232372160555,13.777016493723,212,0.0
114.05057198997736,11.591419788429567,13.923208765645706,203,0.0
113.3458437269537,11.344747295709276,14.311810500703308,206,0.0
114.60029437852005,11.573579721290148,13.976926565490215,199,0.0
113.60270191087889,11.349602360152325,13.872437684098085,208,0.3
104.39171298519817,11.254182999743936,14.031688325461431,206,0.0
115.36522676283334,11.539073697645282,13.973982588141034,211,0.3
113.59616748370401,11.66590229945791,13.538719165966159,190,0.0
114.80073534447106,11.210602196926047,13.695864246588036,194,0.0
103.72184912442307,10.983961556446324,14.155124698184277,193,0.0
111.5028331101519,11.258514961002565,13.463051963857955,206,0.0
109.45788954410693,11.01147293843091,13.812552832387032,204,0.0
116.73068637964595,11.456590900996451,13.362535546786454,194,0.0
120.29441942137373,12.160153018659004,13.947596058208205,194,0.0
107.94436968434027,11.22514170765931,13.64742763199664,220,0.0
108.78171644616857,10.840790328236917,13.456230925034943,194,0.0
115.45361714559819,11.641856588726775,13.69533997314336,205,0.0
115.4628729560931,11.666961734114839,13.54464842106842,204,0.0
108.5193340154592,11.204214305912277,13.992573105674712,202,0.0
112.34126432934191,11.42241736831113,13.946923527492903,197,0.3
109.58980642799655,11.075869835998047,13.511055703059688,198,0.0
113.90783532883789,11.29536375402429,13.65415675413807,186,0.0
108.04338818548442,11.10271325947199,13.50001844180008,198,0.0
107.60597566527348,11.37664526481098,14.326970255425461,220,0.0
121.09815756034185,11.777926532723292,13.29229608580035,204,0.0
108.75685496571333,11.166899704312888,14.309989906965384,191,0.0
118.71940841578412,11.671081062878539,13.30894221350666,205,0.0
103.01559795820965,10.854156609138329,13.741388096863549,208,0.0
112.4007590841679,10.931975638204985,13.898029782190793,203,0.0
114.87049775146062,11.951743057041453,13.653577497603623,203,0.0
110.77341209307261,11.377415748932998,14.062462505639314,184,0.0
117.99615122702525,11.326696350447902,13.786361675979748,187,0.0
110.62976196452442,11.470425367245843,13.572735888272296,208,0.0
108.06813162188426,11.347854224854656,13.853226262070796,194,0.0
107.73564667268732,10.973951276714146,13.684805951256104,210,0.0
113.46263184384766,10.868244037581531,13.377584094571528,202,0.0
102.92663516185122,10.839240516690474,14.264590843964385,205,0.0
112.88458389452242,11.362998288161883,13.64145777740342,193,0.0
118.44475053856779,11.622013530589642,13.450893961489546,193,0.0
112.07323727305466,11.357362650699695,14.291164379399563,199,0.3
113.25475514814595,11.569323187662416,14.00878877929518,196,0.0
